Alimento,Quantidade,Calorias (kcal),Proteínas (g),Carboidratos (g),Gorduras (g)
FLAN DE CHOCOLATE,100,160.00,4.70,26.60,3.90
FRAMBOESA,100,47.00,1.20,13.20,0.60
FRANGO À CAÇADORA,100,174.15,25.50,5.70,5.46
FRANGO A MILANESA,100,311.00,26.67,14.80,16.15
FRANGO AO MOLHO PARDO,100,158.00,24.19,0.98,6.35
FRANGO ASSADO,100,121.00,18.20,0.00,5.40
FRANGO COM QUIABO,100,163.00,23.24,6.18,5.04
FRANGO ENSOPADO,100,127.00,22.00,0.00,4.30
FRANGO FRITO,100,145.00,22.00,0.00,6.30
FROOT LOOPS KELLOGG`S,100,367.00,6.70,83.30,3.30
FRUTA DO CONDE,100,107.00,1.60,24.60,0.20
FUBA,100,365.00,9.60,77.20,2.00
GALINHADA,100,273.30,25.84,5.70,5.46
GELATINA EM FOLHA,100,40.00,10.10,0.00,0.00
GELEIA DE DAMASCO DIET LINEA,100,88.00,0.50,25.60,0.08
GELEIA DE FRUTA,100,248.00,0.10,61.60,0.10
GOIABA,100,76.00,0.90,17.30,0.40
GOIABADA,100,273.00,0.00,68.34,0.00
GRANOLA KELLOGG`S,100,400.00,7.50,80.00,7.50
GRAO DE BICO COZIDO,100,136.00,6.60,22.90,2.00
GRAVIOLA,100,68.00,1.10,14.90,0.40
HAMBURGER MC DONALD'S,100,260.00,13.00,34.00,9.00
HAMBURGUER,100,186.00,21.50,0.00,11.11
HAMBURGUER DE PERU SADIA,100,148.00,17.70,0.00,8.40
HAMBURGUER SANDUICHE,100,241.00,14.67,32.14,6.00
INHAME COZIDO,100,103.00,1.80,23.80,0.10
INHAME FRITO,100,148.00,1.80,23.80,5.10
IOGURTE,100,77.00,3.50,15.50,0.10
IOGURTE C/MEL-LAR E CEN CHAMBOURCY,100,108.00,3.30,17.10,3.10
IOGURTE MORANGO DIET CHAMBOURCY,100,32.00,3.20,4.60,0.05
ISCA DE CARNE DE PORCO,100,219.00,23.40,0.00,13.92
ISCA DE FIGADO,100,242.00,29.85,6.60,10.70
JABOTICABA,100,48.00,1.00,10.80,0.10
JACA,100,68.00,2.70,13.50,0.40
JAMBO,100,56.00,0.80,12.80,0.20
JILO COZIDO,100,52.00,1.68,8.40,1.32
JILO FRITO,100,288.00,1.75,8.75,27.37
JILO REFOGADO,100,99.00,1.75,8.88,6.33
KARO,100,295.00,0.00,73.80,0.00
KETCHUP,100,113.00,2.00,25.40,0.40
KIWI,100,67.00,0.99,14.80,0.45
LAGOSTA COZIDA,100,99.00,24.00,0.00,0.30
LARANJA,100,48.00,0.63,10.82,0.27
LASANHA A BOLONHESA,100,209.00,15.46,15.87,9.30
LEITE COM NESCAU,100,100.00,5.52,9.92,4.27
LEITE CONDENSADO,100,328.00,8.10,54.30,8.70
LEITE DE CABRA EM PO FRIALP,100,528.00,27.10,32.40,32.20
LEITE DE CABRA EM PO SCABRA,100,486.00,26.29,38.36,25.32
LEITE DE CABRA INTEGRAL,100,93.00,3.90,5.40,6.20
LEITE DE COCO INDUSTRIALIZADO,100,258.00,3.20,5.20,24.90
LEITE DE VACA DESNATADO,100,35.00,3.60,5.00,0.10
LEITE DE VACA EM PO DESENGORDURADO,100,360.00,35.90,52.30,0.80
LEITE DE VACA EM PO INTEGRAL,100,506.00,26.40,38.20,27.50
LEITE DE VACA PASTEURIZADO,100,61.00,3.60,4.90,3.00
LEITE ENRIQ COM ABACATE,100,98.00,2.88,9.68,5.30
LEITE ENRIQ COM BANANA,100,84.00,2.59,13.76,1.96
LEITE ENRIQ COM FRUTA E CEREAL,100,78.00,2.33,13.35,1.66
LEITE ENRIQ COM MACA E BANANA,100,78.00,2.21,13.36,1.73
LEITE ENRIQ COM MAMAO,100,64.00,2.13,10.15,1.68
LEITE ENRIQ COM MORANGO,100,65.00,2.22,10.21,1.74
LEITE MATERNO,100,66.00,1.58,6.83,3.60
LEITE NINHO CRESCIMENTO PO,100,499.00,21.00,45.30,26.00
LEITE NINHO CRESCIMENTO RECONST,100,65.00,2.73,5.90,3.40
LENTILHA COZIDA,100,105.00,7.11,18.21,0.39
LEVEDO DE CERVEJA,100,342.00,51.90,30.40,1.40
LIMONADA,100,42.00,0.00,10.50,0.00
LINGUA BOVINA ENSOPADA,100,251.00,23.01,2.33,16.61
LINGUICA,100,300.00,12.10,1.10,27.50
LOMBINHO ASSADO,100,302.00,31.20,0.30,19.60
LOMBO DE PORCO À MINEIRA,100,305.00,15.85,14.38,20.47
LULA COZIDA,100,92.00,22.50,0.00,0.24
MACA,100,65.00,0.30,15.20,0.30
MACARRAO A BOLONHESA,100,124.00,4.04,20.44,2.94
MACARRAO AO ALHO E OLEO,100,219.00,5.28,31.55,7.92
MACARRAO AO SUGO,100,102.00,3.10,21.60,0.39
MACARRAO COZIDO,100,109.00,3.40,23.00,0.40
MÃE BENTA,100,376.90,4.00,41.30,21.73
MAIONESE CASEIRA,100,185.00,5.55,0.34,17.94
MAIONESE INDUSTRIALIZADA,100,391.00,1.10,13.90,36.80
MAIZENA,100,352.00,0.30,87.60,0.00
